#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:44:23.372116994Z,3315,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:49:47.582182302Z,3307,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:55:12.455639491Z,3309,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:00:37.605877073Z,3317,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:06:02.066503189Z,3307,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:11:26.854556404Z,3297,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:16:51.423614875Z,3295,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:22:16.363928716Z,3300,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:27:41.15404958Z,3279,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:33:05.791931014Z,3289,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:38:30.463601873Z,3279,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:43:54.900124906Z,3287,eco2,monitor_task,ESP32-5,urbino,Turing
